                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.4555,                 1.4659,                 1.1582,                0.18781,                0.14204,                 0.1151,                 0.0461,                 2.6444,                 3.3756,                 2.0417,             0.00026146,             0.00026146,             0.00026146
                     83,                 1.3942,                 1.4223,                  1.156,                0.37323,                0.12943,                0.12108,                0.04801,                 2.6134,                 3.2492,                 1.9808,             0.00025512,             0.00025512,             0.00025512
                     84,                 1.4108,                 1.3999,                 1.1545,                0.24503,                0.13106,                0.11998,                0.04705,                 2.7033,                 3.3547,                 2.0057,             0.00024877,             0.00024877,             0.00024877
                     85,                  1.399,                 1.4203,                  1.145,                 0.1551,                0.15474,                0.10734,                0.04045,                 2.6524,                 3.3286,                 2.0365,             0.00024243,             0.00024243,             0.00024243
                     86,                 1.4433,                 1.4517,                 1.1311,                0.15424,                0.14076,                0.12696,                0.05522,                 2.5625,                 3.3359,                 1.9848,             0.00023608,             0.00023608,             0.00023608
                     87,                 1.4092,                 1.4232,                 1.1405,                0.16372,                0.17951,                0.12654,                0.05683,                 2.5445,                 3.3459,                 1.9145,             0.00022974,             0.00022974,             0.00022974
                     88,                 1.3879,                 1.3984,                 1.1422,                0.24117,                0.20496,                 0.1465,                0.05701,                 2.6045,                 3.1551,                 1.9876,             0.00022339,             0.00022339,             0.00022339
                     89,                 1.3816,                 1.4052,                 1.1363,                  0.226,                0.17757,                0.14621,                0.05507,                 2.6103,                 3.1895,                 2.0525,             0.00021705,             0.00021705,             0.00021705
                     90,                 1.3695,                 1.3913,                 1.1216,                0.23702,                0.15565,                 0.1423,                0.05824,                 2.5322,                 3.1669,                 1.9613,             0.00021071,             0.00021071,             0.00021071
                     91,                 1.3557,                 1.3181,                  1.128,                0.46995,                0.14853,                0.13886,                0.04935,                 2.5676,                  3.205,                 1.9927,             0.00020436,             0.00020436,             0.00020436
                     92,                 1.3754,                 1.3747,                 1.1381,                0.52461,                 0.1274,                0.13399,                0.05238,                 2.6331,                 3.2336,                 2.0027,             0.00019802,             0.00019802,             0.00019802
                     93,                 1.3836,                 1.3778,                 1.1299,                 0.2648,                0.14895,                 0.1304,                0.04629,                 2.6307,                  3.182,                 2.0032,             0.00019167,             0.00019167,             0.00019167
                     94,                 1.3557,                  1.332,                 1.1135,                0.20787,                0.17862,                 0.1492,                0.05054,                 2.5942,                 3.2404,                 1.9667,             0.00018533,             0.00018533,             0.00018533
